ID,Name,Sentence,Label,LengthWords,LengthChars
wiki-595,Raccoon,"When they were still considered separate species, the Bahamas raccoon, Guadeloupe raccoon and Tres Marias raccoon were classified as endangered by the IUCN in 1996.",1,25,164
viki-646,Harry_Potter_and_the_Deathly_Hallows,"In the epilogue, Harry and Ginny are married with three children, and Ron and Hermione are married with two children.",0,20,117
wiki-607,Brussels,"Municipalities   The 19 municipalities  (French: , Dutch: ) of the Brussels-Capital Region are political subdivisions with individual responsibilities for the handling of local level duties, such as law enforcement and the upkeep of schools and roads within its borders.",1,39,270
viki-1005,Cross_River_gorilla,Females give birth only once every four to five years.,0,10,54
wiki-528,Scottish Parliament,Speakers are drawn from across Scotland and are chosen to represent the balance of religious beliefs according to the Scottish census.,1,21,134
wiki-549,Helios,The Roman Emperor Julian made Helios the central divinity of his short-lived revival of traditional Roman religious practices in the 4th century AD.,1,23,148
wiki-1405,Richard I of England,"Ralph of Coggeshall, summarising Richard's career, deplores that the king was one of ""the immense cohort of sinners"".",1,18,117
wiki-1539,Second Battle of Bull Run,"At about 6:30&nbsp;p.m., Confederate artillery began shelling the portion of the column to their front, John Gibbon's Black Hat Brigade  (later to be named the Iron Brigade).",1,27,174
wiki-212,Hanoi,"Other universities that are not part of Vietnam National University or Hanoi University include Hanoi School for Public Health, Hanoi School of Agriculture, Electric Power University and University of Transport and Communications.",1,32,230
wiki-1104,Elizabeth I of England,"After the short reigns of her half-siblings, her 44 years on the throne provided welcome stability for the kingdom and helped forge a sense of national identity.",1,27,161
wiki-1156,Thales of Miletus,"The 1870 book Dictionary of Greek and Roman Biography and Mythology noted:  Aristotle defined the soul as the principle of life, that which imbues the matter and makes it live, giving it the animation, or power to act.",1,38,218
wiki-1692,Iron,"Iron typically damages cells in the heart, liver and elsewhere, causing adverse effects that include coma, metabolic acidosis, shock, liver failure, coagulopathy, adult respiratory distress syndrome, long-term organ damage, and even death.",1,32,239
wiki-1275,North Macedonia,"It lies between latitudes 40° and 43° N, and mostly between longitudes 20° and 23° E  (a small area lies east of 23°).",1,23,118
wiki-1323,Black Beauty,"With fifty million copies sold, Black Beauty is one of the best-selling books of all time.",1,16,90
wiki-422,Louisa May Alcott,"The Woman Behind ""Little Women"" which later became a film that was directed by Nancy Porter and aired on PBS television.",1,21,120
wiki-1714,Strasbourg,"After the defeat of France in 1940  (World War II), Strasbourg came under German control again; since the end of 1944, it is again a French city.",1,27,145
wiki-468,Dugong,"dugongs have limited vision, but acute hearing within narrow sound thresholds.",1,11,78
wiki-1282,Finland,"The treaties signed in 1947 and 1948 with the Soviet Union included Finnish obligations, restraints, and reparations—as well as further Finnish territorial concessions in addition to those in the Moscow Peace Treaty of 1940.",1,34,224
viki-1102,John_Rawls," John Rawls  « Justice is the first virtue of social institutions, as truth is of systems of thought.",0,18,101
wiki-319,American Civil War,"However, public opinion against slavery created a political liability for politicians in Britain, where the antislavery movement was powerful.",1,19,142
wiki-366,Sign language,The concrete source is putting objects into the head from books.,1,11,64
wiki-1122,Benjamin Netanyahu,Analysts saw the bill as a sign of Netanyahu's coalition advancing a right-wing agenda.,1,14,87
wiki-514,Legacy,"Legacy  (Marvel Comics), an alias used by Genis-Vell, better known as Captain Marvel  *",1,14,87
wiki-1049,Judaism,"In addition, many Reform temples use musical accompaniment such as organs and mixed choirs.",1,14,91
wiki-378,Primate,"Another adult female used a detached trunk from a small shrub as a stabilizer during food gathering, and another used a log as a bridge.",1,25,136
wiki-732,Calculator,"During this era, the absence of the conditional branch was sometimes used to distinguish a programmable calculator from a computer.",1,20,131
wiki-325,Buenos Aires,"The Colón Theater became one of the world's top opera venues, and the city became the regional capital of radio, television, cinema, and theatre.",1,24,145
wiki-1052,Qatar,Most are joint ventures between European and Japanese firms and the state-owned Qatar General Petroleum Corporation  (QGPC).,1,17,124
wiki-72,Facebook,"Region-wise, the highest number of users are from Asia-Pacific  (947 million) followed by Europe  (381 million) and US&Canada  (242 million).",1,20,141
